abbrev	percentage
AL	0.248
AK	0.055
AZ	0.197
AR	0.155
CA	0.208
CO	0.396
CT	1.123
DE	0.835
FL	0.218
GA	0.351
HI	0.046
ID	0.139
IL	0.764
IN	0.441
IA	0.475
KS	0.283
KY	0.182
LA	0.753
ME	0.128
MD	0.677
MA	1.321
MI	0.56
MN	0.291
MS	0.397
MO	0.19
MT	0.045
NE	0.542
NV	0.237
NH	0.274
NJ	1.764
NM	0.298
NY	1.97
NC	0.182
ND	0.031
OH	0.253
OK	0.141
OR	0.089
PA	0.549
RI	1.243
SC	0.179
SD	0.456
TN	0.259
TX	0.173
UT	0.228
VT	0.159
VA	0.368
WA	0.269
WV	0.087
WI	0.224
WY	0.132
